time,vsize
434,334
1261,667
2246,1001
3018,1334
3874,1667
4882,2001
6587,2334
8466,2667
10618,3001
13003,3334
15593,3667
18470,4001
21699,4334
25148,4667
29413,5001
33377,5334
37701,5667
42175,6001
45773,6334
51190,6667
55951,7001
61383,7334
67307,7667
72932,8001
79162,8334
85714,8667
93562,9001
103342,9334
115535,9667
123400,10001
