time,vsize
50,34
245,67
797,101
1884,134
3578,167
6510,201
10632,234
15642,267
23186,301
31198,334
38960,367
51003,401
63977,434
78770,467
96249,501
117506,534
139889,567
185687,601
197569,634
240888,667
284696,701
337186,734
375095,767
439717,801
474559,834
650579,867
758781,901
1064352,934
1240911,967
1453356,1001
