x,y
0.000000,0.000000
0.010000,0.015076
0.020000,0.030152
0.030000,0.045226
0.040000,0.060298
0.050000,0.075367
0.060000,0.090433
0.070000,0.105495
0.080000,0.120552
0.090000,0.135604
0.100000,0.150651
0.110000,0.165691
0.120000,0.180725
0.130000,0.195751
0.140000,0.210770
0.150000,0.225780
0.160000,0.240780
0.170000,0.255772
0.180000,0.270753
0.190000,0.285724
0.200000,0.300683
0.210000,0.315631
0.220000,0.330566
0.230000,0.345489
0.240000,0.360398
0.250000,0.375294
0.260000,0.390175
0.270000,0.405041
0.280000,0.419892
0.290000,0.434728
0.300000,0.449546
0.310000,0.464348
0.320000,0.479133
0.330000,0.493900
0.340000,0.508649
0.350000,0.523378
0.360000,0.538089
0.370000,0.552780
0.380000,0.567451
0.390000,0.582101
0.400000,0.596729
0.410000,0.611337
0.420000,0.625922
0.430000,0.640485
0.440000,0.655025
0.450000,0.669541
0.460000,0.684034
0.470000,0.698503
0.480000,0.712947
0.490000,0.727366
0.500000,0.741759
0.510000,0.756126
0.520000,0.770468
0.530000,0.784782
0.540000,0.799069
0.550000,0.813329
0.560000,0.827561
0.570000,0.841764
0.580000,0.855939
0.590000,0.870084
0.600000,0.884200
0.610000,0.898287
0.620000,0.912343
0.630000,0.926368
0.640000,0.940362
0.650000,0.954325
0.660000,0.968256
0.670000,0.982156
0.680000,0.996022
0.690000,1.009856
0.700000,1.023657
0.710000,1.037425
0.720000,1.051158
0.730000,1.064858
0.740000,1.078523
0.750000,1.092153
0.760000,1.105748
0.770000,1.119308
0.780000,1.132832
0.790000,1.146320
0.800000,1.159772
0.810000,1.173187
0.820000,1.186565
0.830000,1.199906
0.840000,1.213209
0.850000,1.226475
0.860000,1.239702
0.870000,1.252891
0.880000,1.266041
0.890000,1.279153
0.900000,1.292225
0.910000,1.305258
0.920000,1.318251
0.930000,1.331204
0.940000,1.344116
0.950000,1.356989
0.960000,1.369820
0.970000,1.382611
0.980000,1.395361
0.990000,1.408069
1.000000,1.420735
1.010000,1.434156
1.020000,1.447506
1.030000,1.460785
1.040000,1.473993
1.050000,1.487131
1.060000,1.500198
1.070000,1.513195
1.080000,1.526122
1.090000,1.538980
1.100000,1.551768
1.110000,1.564488
1.120000,1.577139
1.130000,1.589721
1.140000,1.602235
1.150000,1.614682
1.160000,1.627060
1.170000,1.639372
1.180000,1.651616
1.190000,1.663793
1.200000,1.675904
1.210000,1.687949
1.220000,1.699928
1.230000,1.711841
1.240000,1.723688
1.250000,1.735471
1.260000,1.747188
1.270000,1.758841
1.280000,1.770430
1.290000,1.781955
1.300000,1.793415
1.310000,1.804813
1.320000,1.816147
1.330000,1.827418
1.340000,1.838627
1.350000,1.849774
1.360000,1.860858
1.370000,1.871880
1.380000,1.882841
1.390000,1.893741
1.400000,1.904580
1.410000,1.915359
1.420000,1.926077
1.430000,1.936735
1.440000,1.947333
1.450000,1.957872
1.460000,1.968351
1.470000,1.978772
1.480000,1.989134
1.490000,1.999438
1.500000,2.009683
1.510000,2.019871
1.520000,2.030002
1.530000,2.040075
1.540000,2.050092
1.550000,2.060052
1.560000,2.069956
1.570000,2.079804
1.580000,2.089596
1.590000,2.099333
1.600000,2.109015
1.610000,2.118642
1.620000,2.128215
1.630000,2.137733
1.640000,2.147198
1.650000,2.156609
1.660000,2.165967
1.670000,2.175272
1.680000,2.184524
1.690000,2.193724
1.700000,2.202872
1.710000,2.211968
1.720000,2.221013
1.730000,2.230007
1.740000,2.238950
1.750000,2.247842
